date,team,name,notes
2016-08-26,Diamondbacks,• AJ Pollock,activated from 60-day DL
2016-10-07,Athletics,• Mark Canha,activated from 60-day DL
2016-11-07,Dodgers,• Trayce Thompson,activated from 60-day DL
2016-09-17,Mets,• Lucas Duda,activated from 60-day DL
2016-11-03,Diamondbacks,• David Peralta,activated from 60-day DL
2016-11-03,Mets,• Neil Walker,activated from 60-day DL
2016-11-03,Diamondbacks,• Nick Ahmed,activated from 60-day DL
2017-06-10,Diamondbacks,• Socrates Brito,activated from 60-day DL
2017-11-06,Padres,• Alex Dickerson,activated from 60-day DL
2017-11-03,Diamondbacks,• Yasmany Tomas,activated from 60-day DL
2017-08-18,Dodgers,• Adrian Gonzalez,activated from 60-day DL
2017-11-03,Diamondbacks,• Chris Owings,activated from 60-day DL
2017-11-03,Diamondbacks,• Nick Ahmed,activated from 60-day DL
2017-11-02,Phillies,• Daniel Nava,activated from 60-day DL
2018-09-25,Mets,• David Wright,activated from 60-day DL
2018-07-06,Orioles,• Luis Sardinas,activated from 60-day DL
2018-11-02,Royals,• Cheslor Cuthbert,activated from 60-day DL
2018-10-31,Braves,• Michael Reed,activated from 60-day DL
2018-10-30,Diamondbacks,• Jake Lamb,activated from 60-day DL
2018-11-02,Diamondbacks,• Daniel Robertson,activated from 60-day DL
2018-10-30,Diamondbacks,• Jarrod Dyson,activated from 60-day DL
2018-10-30,Diamondbacks,• Christian Walker,activated from 60-day DL
2019-11-04,Diamondbacks,• Steven Souza Jr.,activated from 60-day IL
2019-08-24,Tigers,• Grayson Greiner,activated from 60-day IL
2019-10-28,Mariners,• Ryon Healy,activated from 60-day IL
2019-08-18,Dodgers,• Jedd Gyorko,activated from 60-day IL
2019-08-07,Diamondbacks,• Blake Swihart,activated from 60-day IL
2019-10-31,Red Sox,• Steve Pearce,activated from 60-day IL
2019-11-04,Padres,• Ian Kinsler,activated from 60-day IL
2019-11-04,Dodgers,• Tyler White,activated from 60-day IL
2019-11-04,Padres,• Fernando Tatis Jr.,activated from 60-day IL
2019-11-04,Diamondbacks,• David Peralta,activated from 60-day IL
2021-07-10,Diamondbacks,• Kole Calhoun,activated from 60-day IL
2021-07-24,Twins,• Jake Cave,activated from 60-day IL
2021-07-23,Cubs,• Matt Duffy,activated from 60-day IL
2021-09-11,Phillies,• Matt Joyce,activated from 60-day IL
2021-11-08,Diamondbacks,• Seth Beer,activated from 60-day IL
2022-06-23,Astros,• Taylor Jones,activated from 60-day IL
2022-11-09,Diamondbacks,• Nick Ahmed,activated from 60-day IL
2022-07-16,Rays,• Brandon Lowe,activated from 60-day IL
2022-11-10,Marlins,• Jazz Chisholm Jr.,activated from 60-day IL
2022-08-29,Angels,• Matt Duffy,activated from 60-day IL
2022-11-10,Marlins,• Jorge Soler,activated from 60-day IL
2022-11-10,Rays,• Brandon Lowe,activated from 60-day IL
