Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Total,ARI,223,931,847,268,172,57,12,27,149,99,70,0,126,4,9,1,22,53,10,0.316410861
Total,TEX,168,611,541,129,73,32,1,23,67,74,43,1,135,12,6,9,8,0,1,0.238447319
Total,PIT,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Total,2 Tms,170,645,581,152,117,30,2,3,69,40,40,5,120,19,2,3,14,2,4,0.2616179
Total,2 Tms,179,645,573,143,85,27,2,29,78,76,60,3,126,10,2,0,16,1,4,0.249563699

Total,2 Tms,94,304,268,62,35,13,0,14,33,34,31,0,81,1,1,3,5,0,1,0.231343283
Total,NYM,182,645,595,148,100,26,1,21,67,74,39,4,109,5,4,2,19,0,0,0.248739495

Total,TEX,295,1230,1121,335,224,73,8,30,174,150,88,2,164,8,9,4,35,49,16,0.298840321
Total,LAD,294,1276,1142,345,225,68,5,47,184,146,119,10,258,10,5,0,25,6,4,0.302101576
Total,SDP,69,253,231,54,32,8,4,10,34,28,20,0,99,0,0,2,1,6,3,0.233766233
Total,NYY,270,1139,1038,288,181,50,5,52,162,173,73,4,139,10,16,1,15,13,7,0.277456647
Total,SDP,60,208,187,40,25,6,2,7,23,20,18,0,82,0,1,2,1,6,2,0.213903743
Total,2 Tms,216,878,787,196,107,45,9,35,123,117,66,4,165,15,9,1,13,22,7,0.249047013
Total,TBR,36,116,103,25,17,4,1,3,13,13,11,0,34,1,0,1,0,0,0,0.242718446
Total,SFG,220,622,572,147,81,38,1,27,71,97,39,4,133,3,6,2,20,1,0,0.256993006
Total,WSN,48,143,125,29,22,5,0,2,16,13,16,0,28,1,1,0,2,0,0,0.232
Total,MIA,145,471,440,96,61,16,4,15,43,48,25,2,109,2,1,3,7,0,3,0.218181818
Total,NYY,199,848,711,173,102,28,3,40,133,116,123,1,187,3,9,2,3,13,4,0.243319268
Total,KCR,20,79,73,19,15,2,1,1,4,11,5,0,24,0,1,0,2,1,0,0.260273972
Total,3 Tms,20,52,49,9,7,1,0,1,2,3,3,0,20,0,0,0,0,0,0,0.183673469
Total,2 Tms,86,262,236,56,37,13,2,4,20,12,22,1,70,4,0,0,3,6,3,0.237288135
Total,2 Tms,31,64,61,11,7,0,1,3,9,8,2,0,22,1,0,0,0,5,0,0.180327868
Total,2 Tms,28,62,59,11,7,0,1,3,8,8,2,0,21,1,0,0,0,5,0,0.186440677
Total,2 Tms,39,86,84,9,5,2,0,2,11,7,1,0,38,1,0,0,0,2,0,0.107142857
Total,SDP,5,15,12,3,1,1,0,1,3,2,2,0,7,1,0,0,0,0,0,0.25
Total,CHC,9,25,23,1,1,0,0,0,1,0,2,0,8,0,0,0,2,0,0,0.04347826
Total,MIA,146,537,477,130,85,25,1,19,62,66,51,0,141,7,2,0,14,1,1,0.272536687
Total,TEX,136,537,487,118,80,16,3,19,54,56,40,0,70,6,4,0,6,0,2,0.242299794
Total,2 Tms,31,87,74,12,5,3,1,3,11,12,6,0,30,5,2,0,4,2,0,0.162162162
Total,TEX,78,272,246,44,29,8,1,6,31,18,21,0,82,4,1,0,2,5,4,0.178861788
Total,WSN,94,371,316,65,52,7,0,6,41,29,42,2,95,10,3,0,15,0,1,0.205696202
Total,DET,37,127,113,27,13,5,3,6,17,17,11,0,46,0,0,3,0,1,0,0.238938053
Total,2 Tms,144,539,467,104,56,23,0,25,60,63,61,0,161,6,5,0,8,2,2,0.222698072
