start,end,team,name,notes
2016-09-08,2016-11-07,Rays,• Matt Duffy,placed on 60-day DL recovering from surgery on left Achilles
2017-06-09,2017-11-02,Rays,• Matt Duffy,transferred to 60-day DL recovering from surgery on left Achilles
2018-03-29,2018-11-02,Blue Jays,• Troy Tulowitzki,placed on 60-day DL with bone spurs in both heels / right heel (out for season)
2018-05-21,2018-10-29,Nationals,• Howie Kendrick,transferred to 60-day DL with torn right Achilles tendon (out for season)
2018-07-31,2018-11-02,Mets,• Yoenis Cespedes,transferred to 60-day DL with twin heel calcifications (out for season)
2019-05-06,2019-11-04,Mets,• Yoenis Cespedes,transferred to 60-day IL recovering from surgery on left and right heel
2021-05-30,2021-11-07,Phillies,• Roman Quinn,placed on 60-day IL with torn left Achilles tendon
2021-06-19,2021-08-06,Reds,• Mike Moustakas,transferred to 60-day IL with bruised right heel
2022-09-04,2022-11-10,Tigers,• Austin Meadows,"transferred to 60-day IL with strained left, right Achilles"
